date,state,cases,deaths
23-02-2020,California,1,0
23-02-2020,California,1,0
23-02-2020,California,2,0
23-02-2020,California,2,0
23-02-2020,Illinois,2,0
23-02-2020,Massachusetts,1,0
23-02-2020,Nebraska,11,0
23-02-2020,Texas,4,0
23-02-2020,Washington,1,0
23-02-2020,Wisconsin,1,0
24-02-2020,Arizona,1,0
24-02-2020,California,1,0
24-02-2020,California,1,0
24-02-2020,California,1,0
24-02-2020,California,1,0
24-02-2020,California,1,0
24-02-2020,California,3,0
24-02-2020,California,2,0
24-02-2020,California,1,0
24-02-2020,Illinois,2,0
24-02-2020,Massachusetts,1,0
24-02-2020,Nebraska,12,0
24-02-2020,Texas,10,0
24-02-2020,Washington,1,0
24-02-2020,Washington,4,0
24-02-2020,Wisconsin,1,0
25-02-2020,Arizona,1,0
25-02-2020,California,1,0
25-02-2020,California,1,0
25-02-2020,California,1,0
25-02-2020,California,1,0
25-02-2020,California,1,0
25-02-2020,California,3,0
25-02-2020,California,2,0
25-02-2020,California,1,0
25-02-2020,Illinois,2,0
25-02-2020,Massachusetts,1,0
25-02-2020,Nebraska,13,0
25-02-2020,Texas,10,0
25-02-2020,Utah,1,0
25-02-2020,Washington,1,0
25-02-2020,Washington,4,0
25-02-2020,Wisconsin,1,0
26-02-2020,Arizona,1,0
26-02-2020,California,1,0
26-02-2020,California,1,0
26-02-2020,California,1,0
26-02-2020,California,1,0
26-02-2020,California,1,0
26-02-2020,California,3,0
26-02-2020,California,1,0
26-02-2020,California,3,0
26-02-2020,California,2,0
26-02-2020,California,11,0
26-02-2020,California,1,0
26-02-2020,Illinois,2,0
26-02-2020,Massachusetts,1,0
26-02-2020,Nebraska,13,0
26-02-2020,Texas,10,0
26-02-2020,Utah,1,0
26-02-2020,Washington,1,0
26-02-2020,Washington,4,0
26-02-2020,Wisconsin,1,0
27-02-2020,Arizona,1,0
27-02-2020,California,1,0
27-02-2020,California,1,0
27-02-2020,California,1,0
27-02-2020,California,1,0
27-02-2020,California,1,0
27-02-2020,California,3,0
27-02-2020,California,1,0
27-02-2020,California,3,0
27-02-2020,California,2,0
27-02-2020,California,11,0
27-02-2020,California,1,0
27-02-2020,Illinois,2,0
27-02-2020,Massachusetts,1,0
27-02-2020,Nebraska,13,0
27-02-2020,Texas,10,0
27-02-2020,Utah,1,0
27-02-2020,Washington,1,0
27-02-2020,Washington,4,0
27-02-2020,Wisconsin,1,0
28-02-2020,Arizona,1,0
28-02-2020,California,1,0
28-02-2020,California,1,0
28-02-2020,California,1,0
28-02-2020,California,1,0
28-02-2020,California,1,0
28-02-2020,California,3,0
28-02-2020,California,1,0
28-02-2020,California,3,0
28-02-2020,California,3,0
28-02-2020,California,11,0
28-02-2020,California,1,0
28-02-2020,Illinois,2,0
